Time_ns,QueueLength,Event
55858,0,Recv
55887,126808,Enqu
55970,127856,Enqu
56024,127856,Dequ
56025,0,Recv
56053,127856,Enqu
56136,128904,Enqu
56191,128904,Dequ
56192,0,Recv
56219,128904,Enqu
56358,128904,Dequ
56359,0,Recv
56525,127856,Dequ
56526,0,Recv
56692,126808,Dequ
56693,0,Recv
56859,125760,Dequ
56860,0,Recv
57026,124712,Dequ
57027,0,Recv
57193,123664,Dequ
57194,0,Recv
57360,122616,Dequ
57361,0,Recv
57527,121568,Dequ
57528,0,Recv
57694,120520,Dequ
57695,0,Recv
57861,119472,Dequ
57862,0,Recv
58028,118424,Dequ
58029,0,Recv
58195,117376,Dequ
58196,0,Recv
58362,116328,Dequ
58363,0,Recv
58529,115280,Dequ
58530,0,Recv
58696,114232,Dequ
58697,0,Recv
58863,113184,Dequ
58864,0,Recv
59030,112136,Dequ
59031,0,Recv
59197,111088,Dequ
59198,0,Recv
59364,110040,Dequ
59365,0,Recv
59531,108992,Dequ
59532,0,Recv
59698,107944,Dequ
59699,0,Recv
59865,106896,Dequ
59866,0,Recv
60032,105848,Dequ
60033,0,Recv
60199,104800,Dequ
60200,0,Recv
60366,103752,Dequ
60367,0,Recv
60533,102704,Dequ
60534,0,Recv
60700,101656,Dequ
60701,0,Recv
60867,100608,Dequ
60868,0,Recv
61034,99560,Dequ
61035,0,Recv
61201,98512,Dequ
61202,0,Recv
61368,97464,Dequ
61369,0,Recv
61535,96416,Dequ
61536,0,Recv
61702,95368,Dequ
61703,0,Recv
61869,94320,Dequ
61870,0,Recv
62036,93272,Dequ
62037,0,Recv
62203,92224,Dequ
62204,0,Recv
62370,91176,Dequ
62371,0,Recv
62537,90128,Dequ
62538,0,Recv
62704,89080,Dequ
62705,0,Recv
62871,88032,Dequ
62872,0,Recv
63038,86984,Dequ
63039,0,Recv
63205,85936,Dequ
63206,0,Recv
63372,84888,Dequ
63373,0,Recv
63539,83840,Dequ
63540,0,Recv
63706,82792,Dequ
63707,0,Recv
63873,81744,Dequ
63874,0,Recv
64040,80696,Dequ
64041,0,Recv
64207,79648,Dequ
64208,0,Recv
64374,78600,Dequ
64375,0,Recv
64541,77552,Dequ
64542,0,Recv
64708,76504,Dequ
64709,0,Recv
64786,76504,Enqu
64869,77552,Enqu
64875,77552,Dequ
64876,0,Recv
64952,77552,Enqu
65035,78600,Enqu
65042,78600,Dequ
65043,0,Recv
65118,78600,Enqu
65201,79648,Enqu
65209,79648,Dequ
65210,0,Recv
65284,79648,Enqu
65367,80696,Enqu
65376,80696,Dequ
65377,0,Recv
65450,80696,Enqu
65533,81744,Enqu
65543,81744,Dequ
65544,0,Recv
65616,81744,Enqu
65699,82792,Enqu
65710,82792,Dequ
65711,0,Recv
65782,82792,Enqu
65865,83840,Enqu
65877,83840,Dequ
65878,0,Recv
65948,83840,Enqu
66031,84888,Enqu
66044,84888,Dequ
66045,0,Recv
66114,84888,Enqu
66197,85936,Enqu
66211,85936,Dequ
66212,0,Recv
66280,85936,Enqu
66363,86984,Enqu
66378,86984,Dequ
66379,0,Recv
66446,86984,Enqu
66529,88032,Enqu
66545,88032,Dequ
66546,0,Recv
66612,88032,Enqu
66695,89080,Enqu
66712,89080,Dequ
66713,0,Recv
66778,89080,Enqu
66861,90128,Enqu
66879,90128,Dequ
66880,0,Recv
66944,90128,Enqu
67027,91176,Enqu
67046,91176,Dequ
67047,0,Recv
67110,91176,Enqu
67193,92224,Enqu
67213,92224,Dequ
67214,0,Recv
67276,92224,Enqu
67359,93272,Enqu
67380,93272,Dequ
67381,0,Recv
67442,93272,Enqu
67525,94320,Enqu
67547,94320,Dequ
67548,0,Recv
67608,94320,Enqu
67691,95368,Enqu
67714,95368,Dequ
67715,0,Recv
67774,95368,Enqu
67857,96416,Enqu
67881,96416,Dequ
67882,0,Recv
67940,96416,Enqu
68023,97464,Enqu
68048,97464,Dequ
68049,0,Recv
68106,97464,Enqu
68189,98512,Enqu
68215,98512,Dequ
68216,0,Recv
68272,98512,Enqu
68355,99560,Enqu
68382,99560,Dequ
68383,0,Recv
68438,99560,Enqu
68521,100608,Enqu
68549,100608,Dequ
68550,0,Recv
68604,100608,Enqu
68687,101656,Enqu
68716,101656,Dequ
68717,0,Recv
68770,101656,Enqu
68853,102704,Enqu
68883,102704,Dequ
68884,0,Recv
68936,102704,Enqu
69019,103752,Enqu
69050,103752,Dequ
69051,0,Recv
69102,103752,Enqu
69185,104800,Enqu
69217,104800,Dequ
69218,0,Recv
69268,104800,Enqu
69351,105848,Enqu
69384,105848,Dequ
69385,0,Recv
69434,105848,Enqu
69517,106896,Enqu
69551,106896,Dequ
69552,0,Recv
69600,106896,Enqu
69683,107944,Enqu
69718,107944,Dequ
69719,0,Recv
69766,107944,Enqu
69849,108992,Enqu
69885,108992,Dequ
69886,0,Recv
69932,108992,Enqu
70015,110040,Enqu
70052,110040,Dequ
70053,0,Recv
70098,110040,Enqu
70181,111088,Enqu
70219,111088,Dequ
70220,0,Recv
70264,111088,Enqu
70347,112136,Enqu
70386,112136,Dequ
70387,0,Recv
70430,112136,Enqu
70513,113184,Enqu
70553,113184,Dequ
70554,0,Recv
70596,113184,Enqu
70679,114232,Enqu
70720,114232,Dequ
70721,0,Recv
70762,114232,Enqu
70845,115280,Enqu
70887,115280,Dequ
70888,0,Recv
70928,115280,Enqu
71011,116328,Enqu
71054,116328,Dequ
71055,0,Recv
71094,116328,Enqu
71177,117376,Enqu
71221,117376,Dequ
71222,0,Recv
71260,117376,Enqu
71343,118424,Enqu
71388,118424,Dequ
